about,7999
be,28633
before,5721
by,20853
her,28507
much,5396
old,4724
up,10766
where,4726
you,44685
after,4734
been,10345
come,6591
d,10533
down,6198
get,4399
got,4493
have,24615
here,6395
is,40045
me,20768
my,27194
now,10903
only,6299
own,4171
she,23582
their,10825
them,12734
this,23186
upon,6692
we,20264
will,14386
but,33447
do,12978
great,5284
had,26028
it,70037
like,7126
most,4681
no,17263
o,4379
on,21591
take,4261
the,211828
then,11311
thy,4485
time,9057
was,53616
which,13783
again,5094
are,13898
as,30149
first,5068
into,5848
long,4583
one,15898
our,7858
shall,6373
they,20806
think,5499
us,6134
all,21828
at,21831
mr,5281
of,120983
say,6067
that,61220
your,13525
away,4579
ever,4220
go,6336
his,34928
how,7256
just,4129
make,5633
never,6544
out,11963
over,4723
sir,4951
very,8383
when,12933
who,7709
with,35588
could,11320
did,7749
every,4895
good,8914
he,48068
i,84359
in,71664
king,4829
let,4985
more,9427
or,14615
s,28474
such,7054
were,14725
would,15537
am,6859
can,7662
from,15431
has,6850
its,5313
little,5879
ll,4225
man,8229
other,6703
so,20921
some,7317
t,14046
there,16383
two,6221
well,8549
what,14545
a,102847
an,12886
and,173730
for,38162
if,13747
know,7665
made,5778
may,4989
must,6145
not,35090
nothing,4387
said,10983
see,7462
should,5330
than,7338
these,5776
to,117797
way,5228
any,8471
day,5958
him,21870
thing,4448
thou,6002
too,5136
yet,4164
